Complex,E2_gene_name,E3_gene_name,E2_uniprot,E3_uniprot,UB_I44_E2_distance(angstrom),Ub_Cterm_Cys_distance(angstrom),dG_AB,dG_AC,dG_BC,dSASA_AB,dSASA_AC,dSASA_BC,dSASA_hphobic_AB,dSASA_hphobic_AC,dSASA_hphobic_BC,dSASA_polar_AB,dSASA_polar_AC,dSASA_polar_BC,ipSAE_AB,ipSAE_AC,ipSAE_BC,linchpin,maxPAE_AB,maxPAE_AC,maxPAE_BC,meanPAE_AB,meanPAE_AC,meanPAE_BC,minPAE_AB,minPAE_AC,minPAE_BC,n_hbonds_AB,n_hbonds_AC,n_hbonds_BC,n_res_AB,n_res_AC,n_res_BC,pDockQ2_AB,pDockQ2_AC,pDockQ2_BC,pDockQ_AB,pDockQ_AC,pDockQ_BC,unsat_hbonds_AB,unsat_hbonds_AC,unsat_hbonds_BC,set_id,predicted_probability,predicted_label
UB-UBE2C-MDM4,UBE2C,MDM4,O00762,O15151,7.377433776855469,4.113824367523193,-26.064,-60.14,-47.879,1805.245,2798.313,2494.663,1045.231,1542.45,1373.316,760.014,1255.863,1121.347,0.771617,0.661792,0.712534,False,16.88,12.89,8.09,3.31,2.96,2.29,1.21,1.11,1.19,4.0,14.0,10.0,71.0,112.0,107.0,0.7813,0.7062,0.803,0.5727,0.1453,0.2312,9.0,12.0,13.0,training-validation_set_nonpair,0.48726234,pair
UB-UBE2C-CBL,UBE2C,CBL,O00762,P22681,7.206907272338867,4.158348560333252,-46.328,-71.389,-62.978,2009.389,2916.38,2611.408,1053.598,1519.481,1322.685,955.79,1396.898,1288.723,0.787604,0.681485,0.733379,True,16.31,6.35,10.29,2.98,2.46,2.79,1.11,1.17,1.21,8.0,14.0,14.0,82.0,125.0,109.0,0.805,0.783,0.7503,0.5738,0.1773,0.3186,7.0,23.0,21.0,training-validation_set_nonpair,0.83659995,pair
UB-UBE2C-TTC3,UBE2C,TTC3,O00762,P53804,7.377640247344971,3.9518890380859375,-125.565,-159.403,-61.217,6165.899,7379.677,2372.858,3231.063,3819.325,1164.704,2934.836,3560.353,1208.154,0.555191,0.353941,0.454358,False,21.78,6.93,31.34,5.61,3.64,22.33,1.9,1.98,1.84,27.0,36.0,13.0,230.0,263.0,112.0,0.4268,0.3239,0.026,0.4187,0.0704,0.3156,39.0,49.0,13.0,training-validation_set_nonpair,0.5489159,pair
UB-UBE2C-MAP3K1,UBE2C,MAP3K1,O00762,Q13233,8.336167335510254,4.458940505981445,53.22,-3.447,15.138,2515.587,3041.923,2453.766,1445.308,1741.078,1355.864,1070.279,1300.845,1097.903,0.019102,0.0,0.0,False,23.62,27.94,27.94,15.05,25.81,24.64,6.18,23.91,20.58,7.0,12.0,7.0,101.0,122.0,99.0,0.0235,0.0097,0.0102,0.1565,0.0959,0.1828,31.0,26.0,15.0,training-validation_set_nonpair,0.6142106,pair
UB-UBE2C-BIRC2,UBE2C,BIRC2,O00762,Q13490,7.325907230377197,4.002280235290527,-45.848,-61.982,-61.45,2271.948,2759.386,2881.324,1142.67,1601.006,1426.55,1129.278,1158.38,1454.775,0.732603,0.603166,0.631228,True,17.03,22.66,7.67,3.33,9.01,2.65,1.29,1.41,1.47,11.0,13.0,14.0,83.0,112.0,121.0,0.7403,0.114,0.7445,0.5397,0.1914,0.2014,9.0,14.0,15.0,training-validation_set_nonpair,0.6279167,pair
UB-UBE2C-RNF123,UBE2C,RNF123,O00762,Q5XPI4,7.477375507354736,4.152231216430664,-32.806,-64.64,-55.713,1378.475,2682.77,2249.672,871.843,1525.367,1214.073,506.632,1157.402,1035.599,0.73825,0.575199,0.663161,False,20.84,4.74,7.88,3.86,2.27,2.35,1.36,1.26,1.24,2.0,10.0,10.0,66.0,116.0,99.0,0.6754,0.7539,0.7101,0.5018,0.1067,0.1645,9.0,16.0,14.0,training-validation_set_nonpair,0.047494564,nonpair
UB-UBE2C-UBR3,UBE2C,UBR3,O00762,Q6ZT12,7.418087482452393,4.756280899047852,-75.705,-85.686,-62.483,2809.197,3679.008,2703.264,1439.877,2002.79,1360.597,1369.319,1676.218,1342.667,0.514823,0.569277,0.542091,True,16.64,20.33,28.09,5.26,4.77,10.91,2.38,2.47,2.45,14.0,20.0,18.0,119.0,158.0,109.0,0.4652,0.3807,0.1017,0.4413,0.1104,0.2668,10.0,20.0,17.0,training-validation_set_nonpair,0.19151713,nonpair
UB-UBE2C-SH3RF1,UBE2C,SH3RF1,O00762,Q7Z6J0,7.256853580474853,4.140461921691895,-39.75,-64.358,-54.182,1800.516,2807.882,2403.093,802.083,1397.631,1218.28,998.433,1410.251,1184.813,0.758023,0.538117,0.643372,True,17.22,4.29,4.32,3.5,2.38,2.12,1.24,1.35,1.32,11.0,13.0,12.0,67.0,111.0,102.0,0.7548,0.7335,0.7831,0.5513,0.1287,0.2023,3.0,17.0,16.0,training-validation_set_nonpair,0.5014935,pair
UB-UBE2C-SIAH1,UBE2C,SIAH1,O00762,Q8IUQ4,7.275458812713623,4.133802890777588,-37.6,-73.096,-68.159,1511.016,2694.701,2356.63,819.989,1524.52,1266.406,691.027,1170.181,1090.224,0.809004,0.73179,0.755497,True,13.74,3.86,2.75,2.78,1.78,1.49,1.01,0.99,1.09,8.0,16.0,16.0,63.0,114.0,103.0,0.852,0.8802,0.7688,0.5987,0.1561,0.1771,3.0,15.0,14.0,training-validation_set_nonpair,0.13589889,nonpair
UB-UBE2C-RNF25,UBE2C,RNF25,O00762,Q96BH1,7.410780906677246,4.283700466156006,-32.584,-59.711,-48.769,1774.277,3023.493,2258.998,904.357,1594.833,1269.081,869.92,1428.66,989.917,0.704607,0.513096,0.659453,False,22.41,5.88,6.3,4.7,2.94,2.19,1.41,1.61,1.31,5.0,13.0,10.0,72.0,122.0,102.0,0.5913,0.5906,0.721,0.5032,0.1157,0.2004,11.0,27.0,23.0,training-validation_set_nonpair,0.2872684,nonpair
