PDB_ID,Entry_ID,Number_of_Distinct_Protein_Entities,Refinement_Resolution,Resolution_Method,Release_Date,E2_UniProtIDs,E2_Gene_Names,E3_UniProtIDs,E3_Gene_Names,ubiquitin_in_structure,Nonpolymer_Entities,Entity_ID,Source_Organism,Gene_Name,Macromolecule_Name,Accession_Codes,EC_Number,Polymer_Type
13RZ,13RZ,1,1.66,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SA,13SA,1,1.569,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SB,13SB,1,1.48,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SC,13SC,1,1.475,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SD,13SD,1,1.52,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SE,13SE,1,1.44,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SF,13SF,1,1.708,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SG,13SG,1,1.725,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SH,13SH,1,1.6,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SI,13SI,1,1.54,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SJ,13SJ,1,1.47,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SK,13SK,1,1.536,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SL,13SL,1,1.339,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SM,13SM,1,1.4,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SN,13SN,1,1.44,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SO,13SO,1,1.615,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
