PDB_ID,E2_UniProtIDs,E3_UniProtIDs,Ub_UniProtIDs,Number_of_Distinct_Protein_Entities,Resolution_Method,Refinement_Resolution,Release_Date,Nonpolymer_Entities,Entity_ID,Source_Organism,Gene_Name,Macromolecule_Name,Accession_Codes,EC_Number,E2_Gene_Names,E3_Gene_Names,ubiquitin_in_structure
8E2F,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,2.47,8/15/2022,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:6.-.-.-,BIRC6,,No
8E2G,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,2.99,8/15/2022,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:6.-.-.-,BIRC6,,No
3CEG,Q9NR09,,,1.0,X-ray refinement,2.008,2/29/2008,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:6.3.2.19,BIRC6,,No
8ATM,Q9NR09,,,1.0,EM: OTHER,3.3,8/23/2022,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:2.3.2.27,BIRC6,,No
8ATX,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,7.0,8/24/2022,ZINC ION,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:2.3.2.27,BIRC6,,No
8ATU,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,3.3,8/24/2022,ZINC ION,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:2.3.2.27,BIRC6,,No
8E2H,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,2.3,8/15/2022,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:2.3.2.27,BIRC6,,No
8E2E,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,1.98,8/15/2022,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:6.-.-.-,BIRC6,,No
8E2D,Q9NR09,,,1.0,EM: FSC 0.143 CUT-OFF,2.07,8/15/2022,,1,1:Homo sapiens,"1:BIRC6, KIAA1289",1:Baculoviral IAP repeat-containing protein 6,1:Q9NR09,1:6.-.-.-,BIRC6,,No
8ATO,Q9NR09,,,2.0,EM: FSC 0.143 CUT-OFF,3.0,8/23/2022,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:BIRC6, KIAA1289|2:DIABLO, SMAC",1:Baculoviral IAP repeat-containing protein 6|2:Diablo IAP-binding mitochondrial protein,1:Q9NR09|2:Q9NR28,1:2.3.2.27,BIRC6,,No
8AUW,Q9NR09,,,2.0,EM: FSC 0.143 CUT-OFF,7.2,8/25/2022,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:BIRC6, KIAA1289|2:DIABLO, SMAC",1:Baculoviral IAP repeat-containing protein 6|2:Diablo IAP-binding mitochondrial protein,1:Q9NR09|2:Q9NR28,1:2.3.2.27,BIRC6,,No
6CYO,P49459,,,1.0,X-ray refinement,1.85,4/6/2018,,1,1:Homo sapiens,"1:UBE2A, RAD6A",1:Ubiquitin-conjugating enzyme E2 A,1:P49459,1:2.3.2.23,UBE2A,,No
6CYR,P49459,,,1.0,X-ray refinement,2.2,4/6/2018,,1,1:Homo sapiens,"1:UBE2A, RAD6A",1:Ubiquitin-conjugating enzyme E2 A,1:P49459,1:2.3.2.23,UBE2A,,No
8BTL,P49459,Q5T4S7,,2.0,X-ray refinement,3.2,11/29/2022,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,2:UBE2A,"1:cDNA FLJ12511 fis, clone NT2RM2001727, highly similar to Homo sapiens ubiquitin protein ligase E3 component n-recognin 4 (UBR4), mRNA|2:Ubiquitin conjugating enzyme E2 A",1:B3KMT2|2:A0A7N4PN18,,UBE2A,UBR4,No
8AUK,Q9NR09,,,2.0,EM: FSC 0.143 CUT-OFF,6.2,8/25/2022,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:BIRC6, KIAA1289|2:HTRA2, OMI, PRSS25","1:Baculoviral IAP repeat-containing protein 6|2:Serine protease HTRA2, mitochondrial",1:Q9NR09|2:O43464,1:2.3.2.27|2:3.4.21.108,BIRC6,,No
8E2I,Q9NR09,,,3.0,EM: FSC 0.143 CUT-OFF,3.04,8/15/2022,,"1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:BIRC6, KIAA1289|2:DIABLO, SMAC",1:Baculoviral IAP repeat-containing protein 6|2:Diablo IAP-binding mitochondrial protein|3:Baculoviral IAP repeat-containing protein 6,1:Q9NR09|2:Q9NR28,1:6.-.-.-,BIRC6,,No
